index,Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Private Or Public,Industry,Sector,Revenue,Competitors
240,Data Scientist,$90K-$124K ,4.7,"Oversight Systems
4.7","Atlanta, GA","Atlanta, GA",51 to 200 employees,2003,Company - Private, Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),None
241,Senior Research Statistician- Data Scientist,$90K-$124K ,4.8,"Acuity Insurance
4.8","Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,1925,Company - Private, Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),None
242,Software Data Engineer,$90K-$124K ,3.1,"1010data
3.1","New York, NY","New York, NY",201 to 500 employees,2000,Company - Private, Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),None
243,Data Scientist,$90K-$124K ,3.6,"Gigya
3.6","Palo Alto, CA","Mountain View, CA",201 to 500 employees,2006,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),None
244,Real World Evidence (RWE) Scientist,$90K-$124K ,5,"Genesis Research
5.0","Hoboken, NJ","Hoboken, NJ",1 to 50 employees,2009,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,None
245,Data Scientist,$90K-$124K ,3.7,"Sanofi
3.7","Cambridge, MA","Paris, France",10000+ employees,1973,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Pfizer, GlaxoSmithKline"
246,Data Scientist,$90K-$124K ,3.7,"XPO Logistics
3.7","Lebanon, IN","Greenwich, CT",10000+ employees,2011,Company - Public, Public,Transportation Management,Transportation & Logistics,$10+ billion (USD),"DHL Supply Chain, UPS, FedEx"
247,Data Scientist,$90K-$124K ,3.9,"Trace Data
3.9","Oakland, CA","Santa Ana, CA",51 to 200 employees,2000,Company - Private, Private,Insurance Carriers,Insurance,$10 to $25 million (USD),None
248,Data Scientist,$90K-$124K ,4.3,"Descript
4.3","San Francisco, CA","Houston, TX",1 to 50 employees,None,Company - Private, Private,None,None,Less than $1 million (USD),None
249,Computer Scientist 1,$90K-$124K ,4.2,"Rincon Research Corporation
4.2","Melbourne, FL","Tucson, AZ",201 to 500 employees,1983,Company - Private, Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),"Raytheon Technologies, General Dynamics, MIT Lincoln Laboratory"
250,Lead Data Scientist,$90K-$124K ,3.7,"MassMutual
3.7","Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private, Private,Insurance Carriers,Insurance,$10+ billion (USD),None
251,Data Scientist,$90K-$124K ,4,"Better Hire
4.0","Birmingham, AL","Birmingham, AL",1 to 50 employees,None,Company - Private, Private,None,None,Unknown / Non-Applicable,None
252,Data Scientist,$90K-$124K ,3.3,"Parker Hannifin
3.3","Cleveland, OH","Cleveland, OH",10000+ employees,1917,Company - Public, Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"Eaton, SMC Corporation, Bosch Rexroth"
253,Data Scientist,$90K-$124K ,4.1,"Gallup
4.1","New York, NY","Washington, DC",1001 to 5000 employees,1935,Company - Private, Private,Consulting,Business Services,Unknown / Non-Applicable,"Advisory Board, Booz Allen Hamilton, McKinsey & Company"
254,Data Scientist,$90K-$124K ,3.3,"Insider Inc
3.3","New York, NY","New York, NY",201 to 500 employees,2007,Company - Private, Private,News Outlet,Media,$50 to $100 million (USD),None
255,Data Scientist,$90K-$124K ,3.9,"Rapid Value Solutions
3.9","San Francisco, CA","Pleasanton, CA",201 to 500 employees,2009,Company - Private, Private,IT Services,Information Technology,Unknown / Non-Applicable,None
256,Environmental Data Science,$90K-$124K ,3.1,"Battelle
3.1","Norwell, MA","Columbus, OH",10000+ employees,1929,Nonprofit Organization,Non Profit,Research & Development,Business Services,$5 to $10 billion (USD),None
257,Computational Behavioral Scientist,$90K-$124K ,4.2,"Ntrepid
4.2","Herndon, VA","Herndon, VA",201 to 500 employees,2010,Company - Private, Private,IT Services,Information Technology,$50 to $100 million (USD),"Bromium, FireEye, Authentic8"
258,Data Scientist,$90K-$124K ,5,"The Drive Media, Inc.
5.0","New York, NY",None,Unknown,None,Unknown,Non Profit,None,None,Unknown / Non-Applicable,None
259,Staff BI and Data Engineer,$90K-$124K ,2.9,"Affinity Solutions
2.9","San Jose, CA","New York, NY",51 to 200 employees,1998,Company - Private, Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee"
260,Principal Machine Learning Scientist,$90K-$124K ,4.7,"Sage Intacct
4.7","San Francisco, CA","San Jose, CA",501 to 1000 employees,1999,Subsidiary or Business Segment,Non Profit,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,None
261,Principal Data Scientist - Machine Learning,$90K-$124K ,3.6,"Constant Contact
3.6","Waltham, MA","Waltham, MA",Unknown,1995,Subsidiary or Business Segment,Non Profit,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Drip, iContact, Mailchimp"
262,Data Scientist-Human Resources,$91K-$150K ,3.8,"MIT Lincoln Laboratory
3.8","Lexington, MA","Lexington, MA",1001 to 5000 employees,1951,Nonprofit Organization,Non Profit,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,None
263,Associate Data Scientist,$91K-$150K ,3.3,"Puget Sound Energy
3.3","Bothell, WA","Bellevue, WA",1001 to 5000 employees,1999,Company - Private, Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),None
264,"Data Scientist - Statistics, Mid-Career",$91K-$150K ,3.7,"Pacific Northwest National Laboratory
3.7","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Non Profit,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
265,Director of Data Science,$91K-$150K ,3.8,"Analysis Group
3.8","Boston, MA","Boston, MA",1001 to 5000 employees,1981,Private Practice / Firm,Non Profit,Consulting,Business Services,$100 to $500 million (USD),None
266,Data Scientist,$91K-$150K ,3.2,"US Pharmacopeia
3.2","Rockville, MD","Rockville, MD",1001 to 5000 employees,1820,Nonprofit Organization,Non Profit,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),None
267,Data Scientist,$91K-$150K ,4.6,"Itlize Global
4.6","Piscataway, NJ","Piscataway, NJ",201 to 500 employees,2010,Company - Private, Private,IT Services,Information Technology,$10 to $25 million (USD),None
268,Data Scientist,$91K-$150K ,3.5,"eBay
3.5","San Jose, CA","San Jose, CA",10000+ employees,1995,Company - Public, Public,Internet,Information Technology,$10+ billion (USD),"Amazon, Apple"
269,"Data Engineer, Digital & Comp Pathology",$91K-$150K ,5,"Paige
5.0","New York, NY","New York, NY",1 to 50 employees,2018,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,None
270,Data Engineer,$91K-$150K ,4.1,"Shape Security
4.1","Santa Clara, CA","Mountain View, CA",51 to 200 employees,2011,Company - Private, Private,IT Services,Information Technology,Unknown / Non-Applicable,None
271,"Manager / Lead, Data Science & Analytics",$91K-$150K ,4.1,"ABIOMED
4.1","Danvers, MA","Danvers, MA",1001 to 5000 employees,1981,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Covidien, Boston Scientific"
272,Data Scientist,$91K-$150K ,3.5,"Comcast
3.5","New York, NY","Philadelphia, PA",10000+ employees,1963,Company - Public, Public,None,None,$10+ billion (USD),"AT&T, Verizon"
273,Data Scientist,$91K-$150K ,3.2,"Metronome, LLC
3.2","Vienna, VA","Fairfax, VA",51 to 200 employees,2011,Company - Private, Private,IT Services,Information Technology,$10 to $25 million (USD),None
274,Data Scientist,$91K-$150K ,5,"SkillSoniq
5.0","San Francisco, CA","Jersey City, NJ",Unknown,None,Company - Public, Public,None,None,Unknown / Non-Applicable,None
275,Data Scientist,$91K-$150K ,4.7,"Lawrence Livermore National Lab
4.7","Livermore, CA","Livermore, CA",1001 to 5000 employees,1952,Government,Non Profit,Federal Agencies,Government,$1 to $2 billion (USD),"Los Alamos National Laboratory, NASA Jet Propulsion Laboratory, Sandia National Laboratories"
276,Diversity and Inclusion Data Analyst,$91K-$150K ,3.8,"FHLBank Pittsburgh
3.8","Pittsburgh, PA","Pittsburgh, PA",201 to 500 employees,1932,Company - Private, Private,Banks & Credit Unions,Finance,$1 to $2 billion (USD),None
277,Data Scientist,$91K-$150K ,3.6,"Jacobs
3.6","Herndon, VA","Dallas, TX",10000+ employees,1947,Company - Public, Public,Architectural & Engineering Services,Business Services,$10+ billion (USD),"Fluor, Bechtel, AECOM"
278,Data Scientist,$91K-$150K ,4.8,"Klaviyo
4.8","Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private, Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,None
279,Data Scientist,$91K-$150K ,3.3,"Underwriters Laboratories
3.3","Northbrook, IL","Northbrook, IL",10000+ employees,1894,Company - Private, Private,Consulting,Business Services,$2 to $5 billion (USD),"Intertek, SGS, Bureau Veritas"
280,Data Scientist,$91K-$150K ,3.7,"Altus Group
3.7","Irvine, CA","Toronto, Canada",1001 to 5000 employees,2005,Company - Public, Public,Real Estate,Real Estate,$100 to $500 million (USD),None
281,Data Scientist,$91K-$150K ,5,"Jobot
5.0","Irvine, CA","Irvine, CA",51 to 200 employees,2018,Company - Private, Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),None
282,Data Scientist,$91K-$150K ,0,Trovetechs Inc,"San Francisco, CA","Hillsborough, NJ",Unknown,None,Company - Private, Private,None,None,Unknown / Non-Applicable,None
283,Senior Analyst/Data Scientist,$141K-$225K ,3.4,"Edmunds.com
3.4","Santa Monica, CA","Santa Monica, CA",501 to 1000 employees,1966,Company - Private, Private,Internet,Information Technology,$100 to $500 million (USD),"TrueCar, Cars.com, Kelley Blue Book"
284,Data Scientist,$141K-$225K ,5,"Cohere Health
5.0","Boston, MA","Boston, MA",1 to 50 employees,2019,Company - Private, Private,IT Services,Information Technology,Unknown / Non-Applicable,None
285,Data Scientist,$141K-$225K ,0,Trovetechs Inc,"San Francisco, CA","Hillsborough, NJ",Unknown,None,Company - Private, Private,None,None,Unknown / Non-Applicable,None
286,Senior Data Scientist - R&D Oncology,$141K-$225K ,4,"AstraZeneca
4.0","New York, NY","Cambridge, United Kingdom",10000+ employees,1913,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
287,Data Scientist,$141K-$225K ,4.2,"Oshkosh Corporation
4.2","Oshkosh, WI","Oshkosh, WI",10000+ employees,1917,Company - Public, Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),"Lockheed Martin, Caterpillar, John Deere"
288,Data Scientist,$141K-$225K ,4.3,"Joby Aviation
4.3","San Carlos, CA","Santa Cruz, CA",51 to 200 employees,None,Company - Private, Private,None,None,Unknown / Non-Applicable,None
289,Data Scientist,$141K-$225K ,3.4,"Mackin
3.4","Menlo Park, CA","Pittsburgh, PA",51 to 200 employees,1960,Company - Private, Private,Architectural & Engineering Services,Business Services,$10 to $25 million (USD),None
290,Data Scientist,$141K-$225K ,0,PETADATA,"San Francisco, CA","Fremont, CA",51 to 200 employees,None,Company - Private, Private,None,None,Unknown / Non-Applicable,None
291,Data Scientist,$141K-$225K ,4.4,"VBeyond Corporation
4.4","Dallas, TX","Hillsborough, NJ",201 to 500 employees,2006,Company - Private, Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),None
292,Data Scientist Machine Learning,$141K-$225K ,3.5,"Leidos
3.5","Arlington, VA","Reston, VA",10000+ employees,1969,Company - Public, Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),None
293,Data Scientist,$141K-$225K ,3.7,"Take-Two
3.7","San Francisco, CA","New York, NY",1001 to 5000 employees,1993,Company - Public, Public,Video Games,Media,$1 to $2 billion (USD),"Activision Blizzard, Electronic Arts"
294,Data Scientist,$141K-$225K ,3.7,"Colony Brands
3.7","Monroe, WI","Monroe, WI",501 to 1000 employees,None,Company - Private, Private,Food & Beverage Stores,Retail,$100 to $500 million (USD),None
295,Data Scientist,$141K-$225K ,4.1,"Capio Group
4.1","Sacramento, CA","Goteborg, Sweden",10000+ employees,None,Hospital,Non Profit,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,None
296,Data Scientist,$141K-$225K ,3.4,"SleePare
3.4","New York, NY","New York, NY",1 to 50 employees,2017,Company - Private, Private,Other Retail Stores,Retail,Unknown / Non-Applicable,None
297,Data Analyst,$141K-$225K ,4.5,"ShorePoint
4.5","Reston, VA","Washington, DC",1 to 50 employees,2017,Company - Private, Private,IT Services,Information Technology,Unknown / Non-Applicable,None
298,Data Scientist,$141K-$225K ,3.5,"Dolphin
3.5","New York, NY","Lake Buena Vista, FL",1001 to 5000 employees,1990,Company - Private, Private,"Hotels, Motels, & Resorts",Travel & Tourism,Unknown / Non-Applicable,None
299,Data Scientist,$141K-$225K ,3.6,"TE Connectivity
3.6","Hampton, VA","Schaffhausen, Switzerland",10000+ employees,2007,Company - Public, Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),None
300,Data Scientist,$141K-$225K ,3.2,"State of Virginia
3.2","Richmond, VA","Richmond, VA",10000+ employees,1788,Government,Non Profit,State & Regional Agencies,Government,$10+ billion (USD),None
301,Data Scientist,$141K-$225K ,3.7,"TA Digital
3.7","New York, NY","Newark, CA",501 to 1000 employees,2000,Company - Private, Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),None
302,Data Scientist,$141K-$225K ,4,"Market America Inc
4.0","Monterey, CA","Greensboro, NC",501 to 1000 employees,1992,Company - Private, Private,Other Retail Stores,Retail,$100 to $500 million (USD),None
303,Data Scientist,$145K-$225K,3.2,"Triplebyte
3.2","Chicago, IL","San Francisco, CA",51 to 200 employees,2015,Company - Private, Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,None
304,Data Scientist,$145K-$225K,4.5,"Kingfisher Systems
4.5","McLean, VA","Falls Church, VA",51 to 200 employees,2005,Company - Private, Private,Federal Agencies,Government,$25 to $50 million (USD),None
305,Chief Scientist,$145K-$225K,3.4,"TrueAccord
3.4",Remote,"San Francisco, CA",51 to 200 employees,2013,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,None
306,Data Scientist,$145K-$225K,3.9,"ALTA IT Services
3.9","Woodlawn, MD","Rockville, MD",201 to 500 employees,2004,Company - Private, Private,IT Services,Information Technology,$10 to $25 million (USD),None
307,Data Scientist,$145K-$225K,3.2,"Kollasoft Inc.
3.2",United States,"Scottsdale, AZ",1 to 50 employees,None,Company - Private, Private,IT Services,Information Technology,$1 to $5 million (USD),None
308,Data Scientist,$145K-$225K,5,"Kollasoft Inc.
3.2","New York, NY","Irving, TX",Unknown,None,Company - Public, Public,None,None,Unknown / Non-Applicable,None
309,Data Scientist,$145K-$225K,3.4,"ASRC Federal Holding Company
3.4","Reston, VA","Beltsville, MD",5001 to 10000 employees,2003,Company - Private, Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),None
310,Data Scientist,$145K-$225K,4.4,"Adwait Algorithm
4.4","New York, NY","Houston, TX",51 to 200 employees,2015,Company - Private, Private,IT Services,Information Technology,Unknown / Non-Applicable,None
311,"Health Plan Data Analyst, Sr",$145K-$225K,3.8,"Cook Children's Health Care System
3.8","Fort Worth, TX","Fort Worth, TX",5001 to 10000 employees,1918,Nonprofit Organization,Non Profit,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),"Children's Health, Texas Health Resources, Baylor Scott & White Health"
312,"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",$145K-$225K,3.8,"Rubius Therapeutics
3.8","Smithfield, RI","Cambridge, MA",201 to 500 employees,2013,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),None
313,Data Scientist,$145K-$225K,3.5,"Cambridge FX
3.5","Atlanta, GA","Toronto, Canada",201 to 500 employees,1992,Company - Public, Public,Financial Transaction Processing,Finance,$100 to $500 million (USD),None
314,Senior Data Scientist,$145K-$225K,3.8,"Metromile
3.8","San Francisco, CA","San Francisco, CA",201 to 500 employees,2011,Company - Private, Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,None
315,Data Scientist,$145K-$225K,3.9,"Criteo
3.9","Ann Arbor, MI","Paris, France",1001 to 5000 employees,2005,Company - Public, Public,Internet,Information Technology,$2 to $5 billion (USD),"MediaMath, Conversant, AppNexus"
316,Data Scientist,$145K-$225K,3.4,"Advance Sourcing Concepts
3.4","Pittsburgh, PA","Pittsburgh, PA",51 to 200 employees,None,Company - Private, Private,None,None,$1 to $5 million (USD),None
317,Data Scientist,$145K-$225K,3.8,"Enterprise Solutions Inc
3.8","New York, NY","Naperville, IL",51 to 200 employees,2000,Company - Private, Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),None
318,Analytics - Business Assurance Data Analyst,$145K-$225K,4.6,"GreatAmerica Financial Services
4.6","Cedar Rapids, IA","Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private, Private,Lending,Finance,$100 to $500 million (USD),None
319,Data Scientist,$145K-$225K,0,Microagility,"New York, NY","Princeton, NJ",1 to 50 employees,None,Company - Private, Private,Consulting,Business Services,$1 to $5 million (USD),None
320,Data Scientist,$145K-$225K,4.6,"Conch Technologies, Inc
4.6","Concord, CA","Memphis, TN",51 to 200 employees,None,Company - Private, Private,Consulting,Business Services,$5 to $10 million (USD),None
321,"Development Scientist, Voltaren",$145K-$225K,3.9,"GSK
3.9","Richmond, VA","Brentford, United Kingdom",10000+ employees,1830,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Pfizer, AstraZeneca, Merck"
322,Data Scientist,$145K-$225K,0,"Rainmaker Resources, LLC","Cincinnati, OH","Cincinnati, OH",1 to 50 employees,None,Company - Private, Private,None,None,Unknown / Non-Applicable,None
323,Data Scientist,$79K-$147K ,3.7,"GovTech
3.7","San Francisco, CA","Singapore, Singapore",1001 to 5000 employees,2016,Government,Non Profit,Federal Agencies,Government,Unknown / Non-Applicable,None
324,Data Scientist,$79K-$147K ,3.3,"Intellectual Ventures
3.3","Bellevue, WA","Bellevue, WA",501 to 1000 employees,2000,Company - Private, Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,None
325,Data Engineer,$79K-$147K ,4.4,"Rocket Lawyer
4.4","San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Private, Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),None
326,Data Scientist,$79K-$147K ,3.7,"22nd Century Technologies
3.7","Oakland, CA","Somerset, NJ",1001 to 5000 employees,1997,Company - Private, Private,IT Services,Information Technology,$25 to $50 million (USD),None
327,Data Scientist,$79K-$147K ,3.3,"Huxley
3.3","San Francisco, CA","London, United Kingdom",201 to 500 employees,1995,Company - Private, Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),None
328,Data Scientist,$79K-$147K ,3.4,"FM Systems
3.4","Boston, MA","Raleigh, NC",51 to 200 employees,1984,Company - Private, Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),"Archibus, iOffice, Planon"
329,Data Scientist,$79K-$147K ,0,B4Corp,"Reston, VA","Leesburg, VA",51 to 200 employees,None,Company - Private, Private,IT Services,Information Technology,Unknown / Non-Applicable,None
330,Machine Learning Engineer,$79K-$147K ,3.7,"Mteq
3.7","Fort Belvoir, VA","Lorton, VA",501 to 1000 employees,1954,Company - Public, Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"Harris, Fibertek"
331,Principal Data & Analytics Platform Engineer,$79K-$147K ,3.7,"Blue Cross and Blue Shield of North Carolina
3.7","Durham, NC","Durham, NC",1001 to 5000 employees,1933,Company - Private, Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),None
332,Machine Learning Engineer/Scientist,$79K-$147K ,4.8,"Jane Street
4.8","New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private, Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,None
333,Data Scientist,$79K-$147K ,5,"SSATI
5.0","McLean, VA","Annapolis Junction, MD",1 to 50 employees,2003,Company - Private, Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),None
334,"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",$79K-$147K ,3.9,"Novartis
3.9","Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),None
335,Data Scientist,$79K-$147K ,3.4,"Solving IT International Inc
3.4","Chicago, IL","Chicago, IL",501 to 1000 employees,None,Company - Private, Private,None,None,Unknown / Non-Applicable,None
336,Data Scientist,$79K-$147K ,3.3,"The Davey Tree Expert Company
3.3","Kent, OH","Kent, OH",10000+ employees,1880,Self-employed,employed,Timber Operations,Agriculture & Forestry,$1 to $2 billion (USD),"ACRT Services, Bartlett Tree Experts"
337,Data Scientist,$79K-$147K ,4.6,"Centauri
4.6","Reston, VA","Chantilly, VA",501 to 1000 employees,1999,Company - Private, Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"TASC, Vencore, Booz Allen Hamilton"
338,Data Scientist,$79K-$147K ,0,Stride Search,"San Francisco, CA","Westlake Village, CA",1 to 50 employees,None,Company - Private, Private,None,None,Less than $1 million (USD),None
339,Machine Learning Engineer,$79K-$147K ,2.6,"Software Engineering Institute
2.6","Pittsburgh, PA","Pittsburgh, PA",501 to 1000 employees,1984,College / University,Non Profit,Colleges & Universities,Education,Unknown / Non-Applicable,None
340,Data Analyst - Unilever Prestige,$79K-$147K ,3.8,"Dermalogica
3.8","Carson, CA","Carson, CA",201 to 500 employees,1986,Subsidiary or Business Segment,Non Profit,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),"IMAGE Skincare, Aveda, Kiehl's"
341,Data Scientist,$79K-$147K ,4.8,"TechProjects
4.8","New York, NY","North Brunswick, NJ",1 to 50 employees,2011,Company - Private, Private,IT Services,Information Technology,Unknown / Non-Applicable,None
342,"VP, Data Science",$79K-$147K ,3.9,"7Park Data
3.9","New York, NY","New York, NY",51 to 200 employees,2012,Company - Private, Private,Research & Development,Business Services,Unknown / Non-Applicable,None
343,Data Scientist,$122K-$146K ,4,"Netskope
4.0","Santa Clara, CA","Santa Clara, CA",501 to 1000 employees,2012,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock"
344,Data Scientist,$122K-$146K ,4.2,"Eversight
4.2","Palo Alto, CA","Palo Alto, CA",51 to 200 employees,2013,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),None
345,Senior Business Intelligence Analyst,$122K-$146K ,3.7,"Protolabs
3.7","Maple Plain, MN","Maple Plain, MN",1001 to 5000 employees,1999,Company - Public, Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million (USD),None
346,Data Scientist,$122K-$146K ,3,"Ameritas Life Insurance Corp
3.0","Cincinnati, OH","Lincoln, NE",1001 to 5000 employees,1887,Company - Private, Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),None
347,Data Engineer - Kafka,$122K-$146K ,3.5,"Western Digital
3.5","San Jose, CA","San Jose, CA",10000+ employees,1970,Company - Public, Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Seagate Technology, Toshiba"
348,Data Scientist,$122K-$146K ,2.9,"Shimento, Inc.
2.9","Santa Clara, CA","Benicia, CA",1 to 50 employees,None,Company - Private, Private,None,None,$1 to $5 million (USD),None
349,Data Scientist,$122K-$146K ,5,"Averity
5.0","New York, NY","New York, NY",1 to 50 employees,2014,Company - Private, Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,None
350,Data Scientist,$122K-$146K ,4.7,"Praxis Engineering
4.7","Chantilly, VA","Annapolis Junction, MD",201 to 500 employees,2002,Subsidiary or Business Segment,Non Profit,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"Raytheon Technologies, Northrop Grumman, Booz Allen Hamilton"
351,Data Scientist,$122K-$146K ,0,Point72 Ventures,"Palo Alto, CA",None,None,None,None,1,None,None,None,None
352,Decision Scientist,$122K-$146K ,4.5,"Johns Hopkins University Applied Physics Laboratory
4.5","Laurel, MD","Laurel, MD",5001 to 10000 employees,1942,Nonprofit Organization,Non Profit,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman"
353,Data Scientist,$122K-$146K ,4.9,"Cambridge Mobile Telematics
4.9","Cambridge, MA","Cambridge, MA",1 to 50 employees,2010,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,None
354,Data Science All Star Program - Data Engineer Track,$122K-$146K ,4.6,"Blend360
4.6","Columbia, MD","Columbia, MD",51 to 200 employees,2002,Company - Private, Private,Consulting,Business Services,Unknown / Non-Applicable,None
355,Data Scientist - TS/SCI FSP or CI Required,$122K-$146K ,5,"Phoenix Operations Group
5.0","Annapolis Junction, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private, Private,IT Services,Information Technology,$1 to $5 million (USD),None
356,Data Analyst,$122K-$146K ,3.9,"Nolij Consulting
3.9","Falls Church, VA","Vienna, VA",51 to 200 employees,2012,Company - Public, Public,Consulting,Business Services,$1 to $5 million (USD),None
357,Data Scientist,$122K-$146K ,0,Hatch Data Inc,"San Francisco, CA",None,None,None,None,1,None,None,None,None
358,Data Scientist,$122K-$146K ,0,Hatch Data Inc,"San Francisco, CA",None,None,None,None,1,None,None,None,None
359,Data Scientist,$122K-$146K ,0,Hatch Data Inc,"San Francisco, CA",None,None,None,None,1,None,None,None,None
360,Data Scientist,$122K-$146K ,0,Hatch Data Inc,"San Francisco, CA",None,None,None,None,1,None,None,None,None
361,Data Scientist,$122K-$146K ,0,Hatch Data Inc,"San Francisco, CA",None,None,None,None,1,None,None,None,None
362,Data Scientist,$122K-$146K ,0,Hatch Data Inc,"San Francisco, CA",None,None,None,None,1,None,None,None,None
363,Senior Data Scientist,$122K-$146K ,3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO",5001 to 10000 employees,None,Company - Public, Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),None
364,Data Scientist,$112K-$116K ,4.3,"Quick Base
4.3","Cambridge, MA","Cambridge, MA",201 to 500 employees,1999,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,None
365,Data Scientist,$112K-$116K ,3.7,"Takeda
3.7","Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer"
366,Data Scientist,$112K-$116K ,3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO",5001 to 10000 employees,None,Company - Public, Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),None
367,ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,$112K-$116K ,3.9,"Southwest Research Institute
3.9","Oklahoma City, OK","San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Non Profit,Research & Development,Business Services,$500 million to $1 billion (USD),"Los Alamos National Laboratory, Battelle, SRI International"
